card_id,name,set,number,finish,pay_low_usd,pay_high_usd,pay_source,trust,sales_behind_mark,listings_now,sellers_now,listings_as_of,nm_usd,lp_usd,conflict_ratio
ex14-2,Blastoise δ,Crystal Guardians,2,reverse_holo,125,210,book,red,0,17,15,2026-08-04,220.19,200.489,
ex14-3,Camerupt,Crystal Guardians,3,holo,7.3,9.99,book,green,41,25,19,2026-08-06,12.016390491892327,5.466000000000001,
ex14-3,Camerupt,Crystal Guardians,3,reverse_holo,15,20,book,green,6,13,10,2026-08-04,21.611699999999995,15.0,
ex14-4,Charizard δ,Crystal Guardians,4,holo,379,760,book,green,16,26,10,2026-08-04,690.0328351670274,406.022,
ex14-4,Charizard δ,Crystal Guardians,4,reverse_holo,296,400,book,red,0,9,3,2026-08-04,752.6,520.772,2.16
ex14-45,Bulbasaur,Crystal Guardians,45,holo,45,75,book_thin,red,0,2,2,2026-08-04,62.355,6.43,
ex14-45,Bulbasaur,Crystal Guardians,45,normal,4.99,5.99,book,green,78,31,25,2026-08-04,8.923402907646734,6.034,
ex14-45,Bulbasaur,Crystal Guardians,45,reverse_holo,69,80,book,green,12,8,6,2026-08-04,87.5272,60.0,
ex14-46,Bulbasaur,Crystal Guardians,46,holo,6.24,8.44,mark,amber,4,1,1,2026-08-04,7.343299999999999,1.73,
ex14-46,Bulbasaur,Crystal Guardians,46,normal,3.0,4.99,book,amber,49,15,15,2026-08-04,3.5560707873026045,2.495,
ex14-46,Bulbasaur,Crystal Guardians,46,reverse_holo,60,88,book,amber,3,7,6,2026-08-04,77.644,48.09,
ex14-47,Cacnea,Crystal Guardians,47,holo,1.42,2.35,book,red,0,65,54,2026-08-11,5.654999999999999,7.069000000000001,3.0
ex14-47,Cacnea,Crystal Guardians,47,normal,1.68,3.5,book,conflict,25,5,5,2026-08-04,0.9880552277026043,2.3899999999999997,0.38
ex14-47,Cacnea,Crystal Guardians,47,reverse_holo,7.46,9.79,book,amber,3,14,11,2026-08-04,11.9287,7.969000000000001,
ex14-48,Charmander,Crystal Guardians,48,normal,2.25,2.84,book,amber,55,17,15,2026-08-04,4.874470210605729,2.785,
ex14-48,Charmander,Crystal Guardians,48,reverse_holo,46,67,book,amber,4,20,17,2026-08-04,69.6281,42.4305,
ex14-49,Charmander δ,Crystal Guardians,49,holo,4.99,6.99,book,red,0,84,78,2026-08-04,77.72500000000001,75.58,12.98
ex14-49,Charmander δ,Crystal Guardians,49,normal,4.0,6.0,book,green,80,31,28,2026-08-04,6.378629128456413,3.7750000000000004,
ex14-49,Charmander δ,Crystal Guardians,49,reverse_holo,67,95,book,red,0,3,3,2026-08-04,77.72500000000001,142.549,
ex14-5,Dugtrio,Crystal Guardians,5,holo,16,25,book,green,48,18,13,2026-08-04,24.072538866425898,13.417000000000002,
ex14-5,Dugtrio,Crystal Guardians,5,reverse_holo,36,50,book,amber,3,3,3,2026-08-04,40.678900000000006,49.95,
ex14-50,Diglett,Crystal Guardians,50,normal,2.44,3.25,book,green,46,8,8,2026-08-04,2.607837747285919,2.25,
ex14-50,Diglett,Crystal Guardians,50,reverse_holo,27,70,book,green,5,9,5,2026-08-04,24.197699999999998,28.656,
ex14-51,Duskull,Crystal Guardians,51,normal,2.25,2.45,book,conflict,24,11,9,2026-08-04,0.6082125494833166,2.748,0.26
ex14-51,Duskull,Crystal Guardians,51,reverse_holo,12,18,book,amber,3,17,11,2026-08-06,13.8368,11.086500000000001,
ex14-52,Electrike,Crystal Guardians,52,holo,2.0,2.99,book,red,0,62,48,2026-08-11,4.55,6.773,
ex14-52,Electrike,Crystal Guardians,52,reverse_holo,11,24,book,conflict,11,12,11,2026-08-04,5.947922176010733,7.05,0.34
ex14-53,Jigglypuff,Crystal Guardians,53,holo,2.0,3.98,book,red,0,51,42,2026-08-11,15.034999999999998,15.444000000000003,5.03
ex14-53,Jigglypuff,Crystal Guardians,53,normal,1.79,2.12,book,green,46,6,5,2026-08-04,1.5940719506687495,2.24,
ex14-53,Jigglypuff,Crystal Guardians,53,reverse_holo,15,16,book,amber,4,17,12,2026-08-04,19.3049,17.73,
ex14-56,Meditite,Crystal Guardians,56,holo,5.0,12,book,conflict,3,3,3,2026-08-04,3.9174,5.065,0.46
ex14-56,Meditite,Crystal Guardians,56,normal,1.62,2.49,book,green,13,10,9,2026-08-04,1.0460595095617626,1.924,
ex14-56,Meditite,Crystal Guardians,56,reverse_holo,9.22,20,book,green,11,13,9,2026-08-04,10.99,8.08,
ex14-57,Mudkip,Crystal Guardians,57,normal,2.0,2.59,book,green,52,23,14,2026-08-04,2.535014653043942,3.1399999999999997,
ex14-57,Mudkip,Crystal Guardians,57,reverse_holo,44,53,book,green,6,9,7,2026-08-04,53.023,47.495000000000005,
ex14-6,Ludicolo δ,Crystal Guardians,6,holo,18,22,book,green,17,5,4,2026-08-04,36.84184667137876,15.602,
ex14-6,Ludicolo δ,Crystal Guardians,6,reverse_holo,20,23,book,red,0,4,4,2026-08-04,52.635,33.602,2.42
ex14-60,Seedot,Crystal Guardians,60,holo,2.24,2.99,book,red,0,56,44,2026-08-11,5.335,6.269,2.04
ex14-60,Seedot,Crystal Guardians,60,normal,1.99,2.01,book,conflict,20,6,6,2026-08-04,7.324913912801736,2.21,3.66
ex14-60,Seedot,Crystal Guardians,60,reverse_holo,9.25,13,book,green,10,13,12,2026-08-04,6.496,5.8100000000000005,
ex14-63,Squirtle,Crystal Guardians,63,normal,3.0,7.0,book,green,54,19,16,2026-08-04,2.846500943019809,2.49,
ex14-63,Squirtle,Crystal Guardians,63,reverse_holo,51,61,book,green,5,8,5,2026-08-04,67.07549999999999,49.518,
ex14-64,Squirtle,Crystal Guardians,64,normal,4.99,5.95,book,green,73,23,22,2026-08-04,8.78962744441528,4.9525,
ex14-64,Squirtle,Crystal Guardians,64,reverse_holo,97,175,book,amber,4,4,4,2026-08-04,192.24409999999997,127.495,
ex14-66,Torchic,Crystal Guardians,66,holo,1.99,2.95,book,red,0,59,53,2026-08-11,53.14,38.771,21.51
ex14-66,Torchic,Crystal Guardians,66,normal,2.9,3.0,book,conflict,40,12,11,2026-08-04,1.358470076398817,1.99,0.46
ex14-66,Torchic,Crystal Guardians,66,reverse_holo,90,120,book,green,8,3,2,2026-08-04,64.6296,43.504999999999995,
ex14-68,Treecko δ,Crystal Guardians,68,holo,2.32,3.24,book,red,0,49,37,2026-08-04,23.89,0.84,8.59
ex14-68,Treecko δ,Crystal Guardians,68,normal,1.78,2.71,book,green,38,6,6,2026-08-04,2.1804600450065035,1.99,
ex14-68,Treecko δ,Crystal Guardians,68,reverse_holo,27,46,book,green,6,10,7,2026-08-04,48.0,29.994999999999997,
ex14-7,Luvdisc,Crystal Guardians,7,holo,12,15,book,green,29,20,16,2026-08-06,14.046075794145633,8.67,
ex14-7,Luvdisc,Crystal Guardians,7,reverse_holo,13,28,book,amber,3,4,3,2026-08-04,22.025390826,15.7755,
ex14-70,Wingull,Crystal Guardians,70,normal,1.43,1.99,book,green,13,13,10,2026-08-04,1.414774297287547,2.376,
ex14-70,Wingull,Crystal Guardians,70,reverse_holo,8.37,11,book,amber,9,13,11,2026-08-04,12.99,7.371,
ex14-8,Manectric,Crystal Guardians,8,holo,13,18,book,green,40,26,19,2026-08-04,17.761570578450996,12.1705,
ex14-8,Manectric,Crystal Guardians,8,reverse_holo,18,20,book,amber,3,9,8,2026-08-11,24.0011,16.369,
ex14-89,Aggron ex,Crystal Guardians,89,holo,75,106,book,green,10,12,12,2026-08-04,79.57728100126945,78.006,
ex14-9,Mawile,Crystal Guardians,9,holo,12,15,book,green,19,19,17,2026-08-04,25.508320416581576,9.896500000000001,
ex14-9,Mawile,Crystal Guardians,9,reverse_holo,30,42,band,amber,3,4,4,2026-08-04,37.9266,10.576,
ex14-90,Blaziken ex,Crystal Guardians,90,holo,80,159,book,green,11,12,8,2026-08-11,134.50918727698547,144.5,
ex14-91,Delcatty ex,Crystal Guardians,91,holo,55,70,book,green,11,15,12,2026-08-11,73.25422028768583,50.539,
ex14-92,Exploud ex,Crystal Guardians,92,holo,36,52,book,amber,4,6,5,2026-08-04,63.236528484568986,46.07,
ex14-93,Groudon ex,Crystal Guardians,93,holo,175,220,book,amber,3,11,9,2026-08-06,165.6090219856686,123.375,
ex14-94,Jirachi ex,Crystal Guardians,94,holo,171,200,book,green,10,24,13,2026-08-04,136.46081667664612,172.164,
ex14-95,Kyogre ex,Crystal Guardians,95,holo,90,143,book,amber,1,19,16,2026-08-04,176.3058,156.807,
ex14-96,Sceptile ex δ,Crystal Guardians,96,holo,135,200,book,amber,4,3,3,2026-08-04,221.37044810876782,151.478,
ex14-97,Shiftry ex,Crystal Guardians,97,holo,38,50,book,green,7,20,16,2026-08-04,46.226042761027536,45.073,
ex14-98,Swampert ex,Crystal Guardians,98,holo,167,250,book,amber,3,21,14,2026-08-11,224.83970423157604,136.493,
bw5-17,Blaziken,Dark Explorers,17,holo,11,14,book,green,45,14,13,2026-08-06,16.07710879850272,9.843,
bw5-17,Blaziken,Dark Explorers,17,reverse_holo,11,30,band,amber,3,3,3,2026-08-06,10.84,12.102,
bw5-26,Kyogre-EX,Dark Explorers,26,holo,53,71,book,green,14,14,14,2026-08-04,66.84601331092024,31.194,
bw5-3,Venusaur,Dark Explorers,3,holo,9.0,12,book,amber,14,49,40,2026-08-06,14.085620641708374,8.99,
bw5-3,Venusaur,Dark Explorers,3,reverse_holo,14,20,book,red,0,6,6,2026-08-04,27.76,4.1610000000000005,
bw5-54,Groudon-EX,Dark Explorers,54,holo,42,48,book,green,14,9,9,2026-08-04,64.05687103855955,60.61,
bw5-63,Darkrai-EX,Dark Explorers,63,holo,12,14,book,green,24,9,9,2026-08-04,12.503868124633806,10.027500000000002,
ex11-1,Beedrill δ,Delta Species,1,holo,22,35,book,green,21,9,8,2026-08-04,48.579850141349695,26.618000000000002,
ex11-1,Beedrill δ,Delta Species,1,reverse_holo,60,82,mark,amber,3,2,2,2026-08-04,70.88119999999999,33.3725,
ex11-10,Marowak δ,Delta Species,10,holo,23,32,book,green,19,12,11,2026-08-04,39.54814353731326,22.061,
ex11-10,Marowak δ,Delta Species,10,reverse_holo,36,47,band,conflict,3,4,2,2026-08-04,35.8064,36.227000000000004,0.34
ex11-101,Potion,Delta Species,101,reverse_holo,0.31,0.41,mark,green,6,1,1,2026-08-04,0.36060854021552863,0.14,
ex11-102,Switch,Delta Species,102,normal,1.59,2.75,book,conflict,14,6,3,2026-08-04,0.2927211607295061,1.7558106400000002,0.13
ex11-102,Switch,Delta Species,102,reverse_holo,12,15,book,conflict,3,4,3,2026-08-04,5.7848999999999995,5.32,0.43
ex11-11,Metagross δ,Delta Species,11,holo,88,100,book,green,20,9,9,2026-08-04,148.25873643558305,49.855000000000004,
ex11-11,Metagross δ,Delta Species,11,reverse_holo,180,235,book,amber,3,7,6,2026-08-04,235.89999999999998,194.28,
ex11-114,Azumarill,Delta Species,114,holo,53,85,book,green,12,6,6,2026-08-11,45.527441496077444,40.47,
ex11-12,Mewtwo δ,Delta Species,12,holo,347,507,book,green,15,10,7,2026-08-04,426.62628113919425,248.352,
ex11-12,Mewtwo δ,Delta Species,12,reverse_holo,384,775,book,red,0,8,5,2026-08-04,304.66999999999996,703.698,
ex11-13,Rayquaza δ,Delta Species,13,holo,181,312,book,red,0,12,6,2026-08-04,220.0,239.19,
ex11-13,Rayquaza δ,Delta Species,13,reverse_holo,412,472,book,amber,3,8,4,2026-08-04,297.39140000000003,285.081,
ex11-14,Salamence δ,Delta Species,14,holo,50,70,book,green,33,15,12,2026-08-04,53.71959869272342,35.14,
ex11-14,Salamence δ,Delta Species,14,reverse_holo,64,94,book,amber,3,5,4,2026-08-04,49.7765,125.0,
ex11-15,Starmie δ,Delta Species,15,holo,30,35,book,amber,3,11,10,2026-08-11,31.1522,25.493,
ex11-15,Starmie δ,Delta Species,15,reverse_holo,38,54,book,green,19,6,6,2026-08-04,45.242595062408036,25.043,
ex11-16,Tyranitar δ,Delta Species,16,holo,139,148,book,green,9,4,4,2026-08-04,137.00443063266144,113.137,
ex11-16,Tyranitar δ,Delta Species,16,reverse_holo,100,210,book,red,0,3,3,2026-08-04,98.985,134.242,
ex11-17,Umbreon δ,Delta Species,17,holo,281,500,book,green,16,14,9,2026-08-11,429.2987480633353,215.2115,
ex11-17,Umbreon δ,Delta Species,17,reverse_holo,297,488,book,amber,4,16,11,2026-08-11,412.2661,384.236,
ex11-18,Vaporeon δ,Delta Species,18,holo,98,141,book,green,26,10,9,2026-08-04,131.82528964629995,106.69900000000001,
ex11-18,Vaporeon δ,Delta Species,18,reverse_holo,166,300,book,amber,4,5,3,2026-08-04,164.1538,197.59,
ex11-19,Azumarill δ,Delta Species,19,normal,3.62,7.64,book,green,14,4,3,2026-08-04,9.130485217394348,5.98,
ex11-19,Azumarill δ,Delta Species,19,reverse_holo,55,78,book,green,5,7,5,2026-08-04,50.0,39.423500000000004,
ex11-2,Crobat δ,Delta Species,2,holo,13,21,book,amber,47,27,16,2026-08-06,23.38843997982957,15.99,
ex11-2,Crobat δ,Delta Species,2,reverse_holo,22,30,book,conflict,5,6,6,2026-08-04,69.9722,30.562,2.74
ex11-21,Holon's Electrode,Delta Species,21,normal,3.92,4.95,book,conflict,21,5,5,2026-08-04,11.80346877174568,2.1140000000000003,2.66
ex11-21,Holon's Electrode,Delta Species,21,reverse_holo,39,51,book,conflict,3,6,3,2026-08-04,21.8416,19.99,0.49
ex11-22,Holon's Magneton,Delta Species,22,holo,5.3,6.42,book,red,0,16,15,2026-08-11,18.58,1.89,3.17
ex11-22,Holon's Magneton,Delta Species,22,normal,5.87,17,band,amber,14,2,2,2026-08-04,5.868100125002186,4.680000000000001,
ex11-22,Holon's Magneton,Delta Species,22,reverse_holo,26,35,mark,amber,3,2,1,2026-08-04,30.121199999999998,17.284499999999998,
ex11-23,Hypno,Delta Species,23,holo,7.48,18,book,red,0,15,13,2026-08-04,16.705,27.127,
ex11-23,Hypno,Delta Species,23,reverse_holo,19,49,book,green,12,6,5,2026-08-04,18.31568961386391,12.286,
ex11-24,Mightyena δ,Delta Species,24,holo,30,30,book_thin,red,0,1,1,2026-08-04,34.245,25.745,
ex11-24,Mightyena δ,Delta Species,24,normal,5.88,9.25,book,green,14,4,4,2026-08-04,8.602705269309961,8.636000000000001,
ex11-24,Mightyena δ,Delta Species,24,reverse_holo,30,38,band,amber,3,1,1,2026-08-04,31.4543,31.635500000000004,
ex11-25,Porygon2,Delta Species,25,normal,2.17,5.07,book,green,14,3,2,2026-08-04,2.9905894490954648,2.243,
ex11-25,Porygon2,Delta Species,25,reverse_holo,30,41,mark,amber,4,1,1,2026-08-04,35.285,28.0,
ex11-26,Rain Castform,Delta Species,26,normal,2.19,4.0,book,amber,13,3,3,2026-08-04,4.037705342645593,3.99,
ex11-26,Rain Castform,Delta Species,26,reverse_holo,12,20,book,amber,4,4,3,2026-08-04,27.8714,19.737,
ex11-27,Sandslash δ,Delta Species,27,normal,3.5,5.0,book,green,11,7,6,2026-08-04,7.6744846947831755,4.0,
ex11-27,Sandslash δ,Delta Species,27,reverse_holo,38,48,band,amber,3,1,1,2026-08-04,39.8402,26.450000000000003,
ex11-28,Slowking,Delta Species,28,normal,4.47,9.95,book,green,18,3,3,2026-08-04,4.519384069189646,3.9030000000000005,
ex11-28,Slowking,Delta Species,28,reverse_holo,69,120,book,amber,3,4,2,2026-08-04,87.44049999999999,46.0,
ex11-29,Snow-cloud Castform,Delta Species,29,normal,11,15,mark,amber,24,2,2,2026-08-04,13.005900189909132,3.021,
ex11-29,Snow-cloud Castform,Delta Species,29,reverse_holo,15,19,book,green,6,5,5,2026-08-04,24.8422,3.48,
ex11-3,Dragonite δ,Delta Species,3,holo,300,599,book,green,17,7,6,2026-08-04,260.3606720507239,200.11,
ex11-3,Dragonite δ,Delta Species,3,reverse_holo,239,300,book,green,6,7,5,2026-08-04,267.69067645599995,312.619,
ex11-30,Starmie δ,Delta Species,30,normal,11,30,book,green,19,4,3,2026-08-04,18.828270094727635,5.550000000000001,
ex11-30,Starmie δ,Delta Species,30,reverse_holo,43,58,mark,amber,4,3,2,2026-08-04,50.4461,38.607000000000006,
ex11-31,Sunny Castform,Delta Species,31,normal,3.99,5.39,mark,amber,16,2,2,2026-08-04,4.689630997573668,2.9930000000000003,
ex11-31,Sunny Castform,Delta Species,31,reverse_holo,25,40,book,amber,3,5,2,2026-08-04,32.4709,23.197999999999997,
ex11-32,Swellow,Delta Species,32,normal,2.08,2.19,book,conflict,8,7,7,2026-08-04,1.0539676096751431,3.365,0.49
ex11-32,Swellow,Delta Species,32,reverse_holo,34,35,book,conflict,3,3,3,2026-08-04,11.2252,14.102,0.32
ex11-33,Weezing,Delta Species,33,normal,2.35,3.69,book,conflict,16,8,7,2026-08-04,1.2935729984543913,2.09,0.43
ex11-33,Weezing,Delta Species,33,reverse_holo,21,28,mark,green,7,2,2,2026-08-04,24.4999,16.575,
ex11-4,Espeon δ,Delta Species,4,holo,133,163,book,green,9,8,6,2026-08-11,219.7099017949046,118.112,
ex11-4,Espeon δ,Delta Species,4,reverse_holo,950,1400,book_thin,red,0,2,0,2026-08-04,206.735,159.062,
ex11-41,Dragonair δ,Delta Species,41,holo,50,50,book_thin,red,0,1,1,2026-08-04,36.589999999999996,61.92,
ex11-41,Dragonair δ,Delta Species,41,normal,5.0,5.5,book,amber,47,10,9,2026-08-04,6.729953976586746,4.74,
ex11-41,Dragonair δ,Delta Species,41,reverse_holo,72,98,mark,amber,3,2,2,2026-08-04,84.8446,50.47200000000001,
ex11-49,Metang δ,Delta Species,49,normal,3.36,4.54,mark,amber,20,2,2,2026-08-04,3.9484610910700835,49.99,
ex11-49,Metang δ,Delta Species,49,reverse_holo,17,28,book,green,6,5,4,2026-08-04,30.595699999999997,16.6595,
ex11-5,Flareon δ,Delta Species,5,holo,70,94,book,green,15,10,4,2026-08-04,150.9907114544973,99.04100000000001,
ex11-5,Flareon δ,Delta Species,5,reverse_holo,200,270,mark,amber,3,3,3,2026-08-04,234.87,82.89500000000001,
ex11-51,Pupitar δ,Delta Species,51,normal,2.08,2.82,mark,green,18,1,1,2026-08-04,2.4482672407086548,2.46,
ex11-51,Pupitar δ,Delta Species,51,reverse_holo,13,23,book,amber,3,3,3,2026-08-04,31.8662,14.7,
ex11-53,Shelgon δ,Delta Species,53,normal,2.47,2.99,book,green,24,5,5,2026-08-04,1.426327692259771,2.2800000000000002,
ex11-53,Shelgon δ,Delta Species,53,reverse_holo,1.42,1.89,book,red,0,35,30,2026-08-11,40.0,19.003999999999998,24.17
ex11-57,Bagon δ,Delta Species,57,normal,1.99,1.99,book,conflict,23,3,1,2026-08-04,0.5200947963941819,4.140000000000001,0.26
ex11-57,Bagon δ,Delta Species,57,reverse_holo,,,,red,0,3,2,2026-08-04,8.535,17.734499999999997,0.24
ex11-58,Bagon δ,Delta Species,58,normal,2.01,3.25,book,conflict,21,8,8,2026-08-04,0.970138387885414,1.99,0.37
ex11-58,Bagon δ,Delta Species,58,reverse_holo,42,52,book,amber,3,4,4,2026-08-04,42.7971,0.56,
ex11-59,Beldum δ,Delta Species,59,normal,1.99,5.5,book,conflict,25,4,4,2026-08-04,0.9845983908469212,2.45,0.26
ex11-59,Beldum δ,Delta Species,59,reverse_holo,20,35,book,red,0,3,3,2026-08-04,1.03,24.15,0.04
ex11-6,Gardevoir δ,Delta Species,6,holo,82,96,book,green,23,8,7,2026-08-11,137.16858834502477,79.1115,
ex11-6,Gardevoir δ,Delta Species,6,reverse_holo,58,85,book,conflict,5,3,3,2026-08-04,150.9443,156.5115,2.11
ex11-60,Cubone,Delta Species,60,holo,3.19,5.78,book,red,0,19,17,2026-08-04,6.28,3.07,
ex11-60,Cubone,Delta Species,60,normal,3.05,8.4,book,green,23,4,4,2026-08-04,4.758645616094581,3.7720000000000002,
ex11-60,Cubone,Delta Species,60,reverse_holo,3.19,5.78,book,conflict,7,19,17,2026-08-04,94.99,3.07,21.18
ex11-61,Ditto,Delta Species,61,normal,41,56,mark,amber,53,2,2,2026-08-02,48.629795482167175,41.85,
ex11-61,Ditto,Delta Species,61,reverse_holo,51,55,book,conflict,3,4,3,2026-08-04,253.9843,181.928,4.78
ex11-62,Ditto,Delta Species,62,normal,21,24,book,amber,72,8,8,2026-08-04,25.787245358758284,19.97,
ex11-62,Ditto,Delta Species,62,reverse_holo,21,24,book,conflict,5,8,8,2026-08-04,182.11159999999998,149.9687406,8.05
ex11-63,Ditto,Delta Species,63,holo,358,830,book,red,0,5,4,2026-08-04,445.805,188.22,
ex11-63,Ditto,Delta Species,63,normal,59,80,mark,amber,72,1,1,2026-08-02,69.58562653400817,59.495000000000005,
ex11-63,Ditto,Delta Species,63,reverse_holo,358,830,book,amber,4,5,4,2026-08-04,591.3084,243.81750000000002,
ex11-64,Ditto,Delta Species,64,normal,500,525,book,conflict,61,3,3,2026-08-04,53.51473996503036,37.5,0.1
ex11-64,Ditto,Delta Species,64,reverse_holo,500,525,book,red,0,3,3,2026-08-04,273.96000000000004,218.506,
ex11-65,Dratini δ,Delta Species,65,normal,1.99,2.79,book,green,44,23,20,2026-08-04,3.0805154054521937,2.656,
ex11-65,Dratini δ,Delta Species,65,reverse_holo,40,50,book,amber,3,3,3,2026-08-04,56.0163,53.857000000000006,
ex11-66,Dratini δ,Delta Species,66,normal,2.99,4.14,book,green,30,6,6,2026-08-04,3.3603307201164574,2.9570000000000003,
ex11-66,Dratini δ,Delta Species,66,reverse_holo,40,70,book,amber,3,3,3,2026-08-04,60.66949999999999,38.516,
ex11-67,Drowzee,Delta Species,67,holo,3.65,4.0,book,red,0,21,15,2026-08-04,4.699999999999999,45.242,
ex11-67,Drowzee,Delta Species,67,normal,2.87,7.5,book,green,39,3,3,2026-08-04,3.5735891115547087,3.2840000000000003,
ex11-67,Drowzee,Delta Species,67,reverse_holo,80,85,book,amber,3,3,2,2026-08-04,56.558,45.246500000000005,
ex11-68,Eevee δ,Delta Species,68,normal,6.75,9.0,book,amber,37,5,5,2026-08-06,8.062663131818853,7.327,
ex11-68,Eevee δ,Delta Species,68,reverse_holo,103,139,mark,amber,4,1,1,2026-08-02,121.1502,94.4515,
ex11-69,Eevee,Delta Species,69,holo,7.5,11,book_thin,red,0,2,2,2026-08-06,36.81,89.44500000000001,
ex11-69,Eevee,Delta Species,69,normal,7.46,10,mark,amber,42,2,2,2026-08-06,8.771934216216591,7.221,
ex11-69,Eevee,Delta Species,69,reverse_holo,7.5,11,book_thin,red,0,2,2,2026-08-06,36.81,82.24050000000001,
ex11-7,Jolteon δ,Delta Species,7,holo,200,205,book,green,25,3,2,2026-08-04,192.39146169914505,90.89399999999999,
ex11-7,Jolteon δ,Delta Species,7,reverse_holo,230,312,mark,amber,4,2,2,2026-08-04,270.968454378,162.354,
ex11-70,Holon's Magnemite,Delta Species,70,normal,1.45,1.96,mark,green,17,1,1,2026-08-04,1.7031507946243432,1.99,
ex11-70,Holon's Magnemite,Delta Species,70,reverse_holo,13,23,band,conflict,3,5,3,2026-08-04,22.513,19.817999999999998,0.32
ex11-71,Holon's Voltorb,Delta Species,71,normal,1.87,3.04,book,conflict,23,6,5,2026-08-04,0.5463396390020419,1.8065000000000002,0.22
